YEAR,STATE,RATE,DEATHS,LAT,LON
2019,Missouri,20.6,1252,38.456085,-92.288368
2019,Montana,19,209,46.921925,-110.454353
2019,Nebraska,10.4,205,41.12537,-98.268082
2019,Nevada,15.3,490,38.313515,-117.055374
2019,New Hampshire,10.7,156,43.452492,-71.563896
2019,New Jersey,4.1,368,40.298904,-74.521011
2019,New Mexico,22.3,471,34.840515,-106.248482
2019,New York,3.9,804,42.165726,-74.948051
2019,North Carolina,13.1,1397,35.630066,-79.806419
2019,North Dakota,12.4,93,47.528912,-99.784012
2019,Ohio,13.3,1578,40.388783,-82.764915
2019,Oklahoma,18.6,737,35.565342,-96.928917
2019,Oregon,12.6,566,44.572021,-122.070938
2019,Pennsylvania,11.7,1541,40.590752,-77.209755
2019,Rhode Island,4.6,48,41.680893,-71.51178
2019,South Carolina,19.9,1012,33.856892,-80.945007
2019,South Dakota,13.1,113,44.299782,-99.438828
2019,Tennessee,18.4,1270,35.747845,-86.692345
2019,Texas,12.7,3683,31.054487,-97.563461
2019,Utah,12.8,394,40.150032,-111.862434
2019,Vermont,9.3,67,44.045876,-72.710686
2019,Virginia,11.7,1025,37.769337,-78.169968
2019,Washington,10.7,842,47.400902,-121.490494
2019,West Virginia,16.6,300,38.491226,-80.954212
2019,Wisconsin,10,604,44.268543,-89.616508
2019,Wyoming,22.3,133,42.755966,-107.30249
2018,Alabama,21.8,1064,32.806671,-86.79113
2018,Alaska,21,155,61.370716,-152.404419
2018,Arizona,15.3,1147,33.729759,-111.431221
2018,Arkansas,18.9,573,34.969704,-92.373123
2018,California,7.5,3040,36.116203,-119.681564
2018,Colorado,15.2,889,39.059811,-105.311104
2018,Connecticut,4.9,186,41.597782,-72.755371
2018,Delaware,11.6,107,39.318523,-75.507141
2018,Florida,12.9,2902,27.766279,-81.686783
2018,Georgia,15.7,1680,33.040619,-83.643074
2018,Hawaii,4,59,21.094318,-157.498337
2018,Idaho,16.6,294,44.240459,-114.478828
2018,Illinois,10.9,1382,40.349457,-88.986137
2018,Indiana,14.7,977,39.849426,-86.258278
2018,Iowa,8.7,282,42.011539,-93.210526
2018,Kansas,14.8,424,38.5266,-96.726486
2018,Kentucky,16.9,762,37.66814,-84.670067
2018,Louisiana,21.4,991,31.169546,-91.867805
2018,Maine,10.3,159,44.693947,-69.381927
2018,Maryland,11.7,707,39.063946,-76.802101
2018,Massachusetts,3.5,258,42.230171,-71.530106
2018,Michigan,12.9,1310,43.326618,-84.536095
2018,Minnesota,7.8,437,45.694454,-93.900192
2018,Mississippi,22.9,681,32.741646,-89.678696
2018,Missouri,21.5,1311,38.456085,-92.288368
2018,Montana,17.3,186,46.921925,-110.454353
2018,Nebraska,9,183,41.12537,-98.268082
2018,Nevada,17.9,550,38.313515,-117.055374
2018,New Hampshire,10.8,155,43.452492,-71.563896
2018,New Jersey,4.8,420,40.298904,-74.521011
2018,New Mexico,20.7,438,34.840515,-106.248482
2018,New York,4.1,821,42.165726,-74.948051
2018,North Carolina,13.3,1416,35.630066,-79.806419
2018,North Dakota,11.5,89,47.528912,-99.784012
2018,Ohio,13.1,1555,40.388783,-82.764915
2018,Oklahoma,16.8,665,35.565342,-96.928917
2018,Oregon,11.7,519,44.572021,-122.070938
2018,Pennsylvania,12.5,1654,40.590752,-77.209755
2018,Rhode Island,3.3,37,41.680893,-71.51178
2018,South Carolina,17.6,895,33.856892,-80.945007
2018,South Dakota,13.6,117,44.299782,-99.438828
2018,Tennessee,17.8,1228,35.747845,-86.692345
2018,Texas,12.2,3522,31.054487,-97.563461
2018,Utah,13.2,397,40.150032,-111.862434
2018,Vermont,12.8,82,44.045876,-72.710686
2018,Virginia,11.8,1035,37.769337,-78.169968
2018,Washington,10.4,809,47.400902,-121.490494
2018,West Virginia,18.2,343,38.491226,-80.954212
2018,Wisconsin,10.1,598,44.268543,-89.616508
2018,Wyoming,21.5,124,42.755966,-107.30249
2017,Alabama,22.9,1124,32.806671,-86.79113
2017,Alaska,24.5,180,61.370716,-152.404419
2017,Arizona,15.8,1134,33.729759,-111.431221
2017,Arkansas,20.3,613,34.969704,-92.373123
2017,California,7.9,3184,36.116203,-119.681564
2017,Colorado,13.4,779,39.059811,-105.311104
2017,Connecticut,5.1,188,41.597782,-72.755371
2017,Delaware,11.7,111,39.318523,-75.507141
2017,Florida,12.4,2724,27.766279,-81.686783
2017,Georgia,15.4,1623,33.040619,-83.643074
2017,Hawaii,2.5,39,21.094318,-157.498337
2017,Idaho,16.4,280,44.240459,-114.478828
2017,Illinois,12.1,1543,40.349457,-88.986137
2017,Indiana,15.3,1016,39.849426,-86.258278
2017,Iowa,9,293,42.011539,-93.210526
2017,Kansas,16,466,38.5266,-96.726486
2017,Kentucky,16.2,730,37.66814,-84.670067
2017,Louisiana,21.7,1008,31.169546,-91.867805
2017,Maine,11.7,172,44.693947,-69.381927
2017,Maryland,12.3,742,39.063946,-76.802101
2017,Massachusetts,3.7,262,42.230171,-71.530106
2017,Michigan,11.3,1138,43.326618,-84.536095
2017,Minnesota,8.2,465,45.694454,-93.900192
2017,Mississippi,21.5,632,32.741646,-89.678696
2017,Missouri,21.5,1307,38.456085,-92.288368
2017,Montana,22.5,244,46.921925,-110.454353
2017,Nebraska,8.3,160,41.12537,-98.268082
2017,Nevada,16.7,508,38.313515,-117.055374
2017,New Hampshire,10.4,146,43.452492,-71.563896
2017,New Jersey,5.3,478,40.298904,-74.521011
2017,New Mexico,18.5,394,34.840515,-106.248482
2017,New York,3.7,772,42.165726,-74.948051
2017,North Carolina,13.7,1430,35.630066,-79.806419
2017,North Dakota,13.2,103,47.528912,-99.784012
2017,Ohio,13.7,1589,40.388783,-82.764915
2017,Oklahoma,17.2,681,35.565342,-96.928917
2017,Oregon,12.1,528,44.572021,-122.070938
2017,Pennsylvania,12.5,1636,40.590752,-77.209755
2017,Rhode Island,3.9,43,41.680893,-71.51178
2017,South Carolina,17.7,893,33.856892,-80.945007
2017,South Dakota,11.9,101,44.299782,-99.438828
2017,Tennessee,18.4,1246,35.747845,-86.692345
2017,Texas,12.4,3513,31.054487,-97.563461
2017,Utah,14,410,40.150032,-111.862434
2017,Vermont,11.7,70,44.045876,-72.710686
2017,Virginia,11.9,1041,37.769337,-78.169968
2017,Washington,11.1,849,47.400902,-121.490494
2017,West Virginia,18.6,348,38.491226,-80.954212
2017,Wisconsin,10.6,624,44.268543,-89.616508
2017,Wyoming,18.8,113,42.755966,-107.30249
2016,Alabama,21.5,1046,32.806671,-86.79113
2016,Alaska,23.3,177,61.370716,-152.404419
2016,Arizona,15.2,1094,33.729759,-111.431221
2016,Arkansas,17.8,541,34.969704,-92.373123
2016,California,7.9,3184,36.116203,-119.681564
2016,Colorado,14.3,812,39.059811,-105.311104
2016,Connecticut,4.6,172,41.597782,-72.755371
2016,Delaware,11,111,39.318523,-75.507141
2016,Florida,12.6,2704,27.766279,-81.686783
2016,Georgia,15,1571,33.040619,-83.643074
2016,Hawaii,4.5,66,21.094318,-157.498337
2016,Idaho,14.6,242,44.240459,-114.478828
2016,Illinois,11.7,1490,40.349457,-88.986137
2016,Indiana,15,997,39.849426,-86.258278
2016,Iowa,9.2,288,42.011539,-93.210526
2016,Kansas,13.4,383,38.5266,-96.726486
2016,Kentucky,17.5,772,37.66814,-84.670067
2016,Louisiana,21.3,987,31.169546,-91.867805
2016,Maine,8.3,123,44.693947,-69.381927
2016,Maryland,11.9,707,39.063946,-76.802101
2016,Massachusetts,3.4,242,42.230171,-71.530106
2016,Michigan,12.3,1230,43.326618,-84.536095
2016,Minnesota,7.6,432,45.694454,-93.900192
2016,Mississippi,19.9,587,32.741646,-89.678696
2016,Missouri,19,1144,38.456085,-92.288368
2016,Montana,18.9,194,46.921925,-110.454353
2016,Nebraska,9.1,171,41.12537,-98.268082
2016,Nevada,16.8,498,38.313515,-117.055374
2016,New Hampshire,9.3,132,43.452492,-71.563896
2016,New Jersey,5.5,485,40.298904,-74.521011
2016,New Mexico,18.1,383,34.840515,-106.248482
2016,New York,4.4,900,42.165726,-74.948051
2016,North Carolina,13.7,1409,35.630066,-79.806419
2016,North Dakota,11.9,90,47.528912,-99.784012
2016,Ohio,12.9,1524,40.388783,-82.764915
2016,Oklahoma,19.6,766,35.565342,-96.928917
2016,Oregon,11.9,513,44.572021,-122.070938
2016,Pennsylvania,12,1555,40.590752,-77.209755
2016,Rhode Island,4.1,49,41.680893,-71.51178
2016,South Carolina,17.7,891,33.856892,-80.945007
2016,South Dakota,13.4,108,44.299782,-99.438828
2016,Tennessee,17.1,1148,35.747845,-86.692345
2016,Texas,12.1,3353,31.054487,-97.563461
2016,Utah,12.9,370,40.150032,-111.862434
2016,Vermont,11.1,78,44.045876,-72.710686
2016,Virginia,12.1,1049,37.769337,-78.169968
2016,Washington,9,686,47.400902,-121.490494
2016,West Virginia,17.5,332,38.491226,-80.954212
2016,Wisconsin,11.4,664,44.268543,-89.616508
2016,Wyoming,17.4,101,42.755966,-107.30249
2015,Alabama,19.6,958,32.806671,-86.79113
2015,Alaska,23.4,177,61.370716,-152.404419
2015,Arizona,13.8,970,33.729759,-111.431221
2015,Arkansas,16.9,520,34.969704,-92.373123
2015,California,7.7,3095,36.116203,-119.681564
2015,Colorado,12.6,701,39.059811,-105.311104
2015,Connecticut,5.3,189,41.597782,-72.755371
2015,Delaware,12.1,112,39.318523,-75.507141
2015,Florida,12,2559,27.766279,-81.686783
2015,Georgia,14.1,1448,33.040619,-83.643074
2015,Hawaii,3.6,55,21.094318,-157.498337
2015,Idaho,14.7,247,44.240459,-114.478828
2015,Illinois,9.5,1220,40.349457,-88.986137
2015,Indiana,12.7,846,39.849426,-86.258278
2015,Iowa,7.8,247,42.011539,-93.210526
2015,Kansas,11.4,330,38.5266,-96.726486
2015,Kentucky,15.2,694,37.66814,-84.670067
2015,Louisiana,20.4,952,31.169546,-91.867805
2015,Maine,9.8,144,44.693947,-69.381927
2015,Maryland,11.9,708,39.063946,-76.802101
2015,Massachusetts,3,213,42.230171,-71.530106
2015,Michigan,11.7,1164,43.326618,-84.536095
2015,Minnesota,7.4,410,45.694454,-93.900192
2015,Mississippi,19.6,589,32.741646,-89.678696
2015,Missouri,18.1,1094,38.456085,-92.288368
2015,Montana,19.2,205,46.921925,-110.454353
2015,Nebraska,8.9,169,41.12537,-98.268082
2015,Nevada,14.9,446,38.313515,-117.055374
2015,New Hampshire,8.9,121,43.452492,-71.563896
2015,New Jersey,5.4,475,40.298904,-74.521011
2015,New Mexico,18.6,390,34.840515,-106.248482
2015,New York,4.2,849,42.165726,-74.948051
2015,North Carolina,12.5,1289,35.630066,-79.806419
2015,North Dakota,12.8,92,47.528912,-99.784012
2015,Ohio,11.9,1397,40.388783,-82.764915
2015,Oklahoma,18,706,35.565342,-96.928917
2015,Oregon,11.4,486,44.572021,-122.070938
2015,Pennsylvania,11.4,1485,40.590752,-77.209755
2015,Rhode Island,4.7,51,41.680893,-71.51178
2015,South Carolina,17.3,850,33.856892,-80.945007
2015,South Dakota,11.1,96,44.299782,-99.438828
2015,Tennessee,16,1075,35.747845,-86.692345
2015,Texas,11.7,3203,31.054487,-97.563461
2015,Utah,12.8,367,40.150032,-111.862434
2015,Vermont,9.6,70,44.045876,-72.710686
2015,Virginia,10.9,946,37.769337,-78.169968
2015,Washington,9.8,718,47.400902,-121.490494
2015,West Virginia,14,278,38.491226,-80.954212
2015,Wisconsin,10.4,613,44.268543,-89.616508
2015,Wyoming,19.6,113,42.755966,-107.30249
2014,Alabama,16.9,815,32.806671,-86.79113
2014,Alaska,19.2,145,61.370716,-152.404419
2014,Arizona,13.5,927,33.729759,-111.431221
2014,Arkansas,16.6,496,34.969704,-92.373123
2014,California,7.4,2942,36.116203,-119.681564
2014,Colorado,12.2,663,39.059811,-105.311104
2014,Connecticut,5,187,41.597782,-72.755371
2014,Delaware,11.1,102,39.318523,-75.507141
2014,Florida,11.5,2410,27.766279,-81.686783
2014,Georgia,13.7,1391,33.040619,-83.643074
2014,Hawaii,2.6,40,21.094318,-157.498337
2014,Idaho,13.2,213,44.240459,-114.478828
2014,Illinois,9,1179,40.349457,-88.986137
2014,Indiana,12.4,818,39.849426,-86.258278
2014,Iowa,7.5,241,42.011539,-93.210526
2014,Kansas,11.3,329,38.5266,-96.726486
2014,Kentucky,13.9,634,37.66814,-84.670067
2014,Louisiana,19,896,31.169546,-91.867805
2014,Maine,9.4,133,44.693947,-69.381927
2014,Maryland,9,546,39.063946,-76.802101
2014,Massachusetts,3.2,226,42.230171,-71.530106
2014,Michigan,11.1,1095,43.326618,-84.536095
2014,Minnesota,6.6,377,45.694454,-93.900192
2014,Mississippi,18.3,547,32.741646,-89.678696
2014,Missouri,15.3,943,38.456085,-92.288368
2014,Montana,16.1,172,46.921925,-110.454353
2014,Nebraska,9.5,179,41.12537,-98.268082
2014,Nevada,14.8,429,38.313515,-117.055374
2014,New Hampshire,8.7,122,43.452492,-71.563896
2014,New Jersey,5.3,468,40.298904,-74.521011
2014,New Mexico,16,340,34.840515,-106.248482
2014,New York,4.2,875,42.165726,-74.948051
2014,North Carolina,11.8,1206,35.630066,-79.806419
2014,North Dakota,12.3,96,47.528912,-99.784012
2014,Ohio,10.3,1211,40.388783,-82.764915
2014,Oklahoma,15.7,611,35.565342,-96.928917
2014,Oregon,11.7,497,44.572021,-122.070938
2014,Pennsylvania,10.5,1390,40.590752,-77.209755
2014,Rhode Island,3,34,41.680893,-71.51178
2014,South Carolina,15.5,767,33.856892,-80.945007
2014,South Dakota,10.3,89,44.299782,-99.438828
2014,Tennessee,15.1,1016,35.747845,-86.692345
2014,Texas,10.7,2848,31.054487,-97.563461
2014,Utah,12.3,337,40.150032,-111.862434
2014,Vermont,10.3,69,44.045876,-72.710686
2014,Virginia,10.3,889,37.769337,-78.169968
2014,Washington,9.7,702,47.400902,-121.490494
2014,West Virginia,14.6,286,38.491226,-80.954212
2014,Wisconsin,8.2,487,44.268543,-89.616508
2014,Wyoming,16.2,93,42.755966,-107.30249
2005,Alabama,16,736,32.806671,-86.79113
2005,Alaska,17.5,116,61.370716,-152.404419
2005,Arizona,16.1,934,33.729759,-111.431221
2005,Arkansas,15.7,439,34.969704,-92.373123
2005,California,9.5,3453,36.116203,-119.681564
2005,Colorado,11.6,535,39.059811,-105.311104
2005,Connecticut,5.3,187,41.597782,-72.755371
2005,Delaware,8.8,75,39.318523,-75.507141
2005,Florida,10,1838,27.766279,-81.686783
2005,Georgia,12.1,1064,33.040619,-83.643074
2005,Hawaii,2.1,28,21.094318,-157.498337
2005,Idaho,14.1,195,44.240459,-114.478828
2005,Illinois,8,1019,40.349457,-88.986137
2005,Indiana,11.2,705,39.849426,-86.258278
2005,Iowa,6.7,201,42.011539,-93.210526
2005,Kansas,9.3,257,38.5266,-96.726486
2005,Kentucky,13,548,37.66814,-84.670067
2005,Louisiana,18.5,858,31.169546,-91.867805
2005,Maine,7.8,109,44.693947,-69.381927
2005,Maryland,11.9,657,39.063946,-76.802101
2005,Massachusetts,3.4,224,42.230171,-71.530106
2005,Michigan,10.8,1074,43.326618,-84.536095
2005,Minnesota,7,361,45.694454,-93.900192
2005,Mississippi,16,455,32.741646,-89.678696
2005,Missouri,12.9,752,38.456085,-92.288368
2005,Montana,16.9,161,46.921925,-110.454353
2005,Nebraska,7.7,135,41.12537,-98.268082
2005,Nevada,16.1,390,38.313515,-117.055374
2005,New Hampshire,6.6,88,43.452492,-71.563896
2005,New Jersey,5.2,434,40.298904,-74.521011
2005,New Mexico,13.9,267,34.840515,-106.248482
2005,New York,5.3,1019,42.165726,-74.948051
2005,North Carolina,12.8,1119,35.630066,-79.806419
2005,North Dakota,8.8,61,47.528912,-99.784012
2005,Ohio,9.6,1116,40.388783,-82.764915
2005,Oklahoma,13.2,468,35.565342,-96.928917
2005,Oregon,10.7,402,44.572021,-122.070938
2005,Pennsylvania,10.8,1352,40.590752,-77.209755
2005,Rhode Island,3.6,39,41.680893,-71.51178
2005,South Carolina,13.8,589,33.856892,-80.945007
2005,South Dakota,10.2,82,44.299782,-99.438828
2005,Tennessee,16,976,35.747845,-86.692345
2005,Texas,11.1,2490,31.054487,-97.563461
2005,Utah,10.1,227,40.150032,-111.862434
2005,Vermont,6.8,44,44.045876,-72.710686
2005,Virginia,11.5,888,37.769337,-78.169968
2005,Washington,8.8,567,47.400902,-121.490494
2005,West Virginia,13.8,261,38.491226,-80.954212
2005,Wisconsin,8.5,474,44.268543,-89.616508
2005,Wyoming,13.4,71,42.755966,-107.30249
